rule_id,is_active,priority,pattern,canonical_text,notes
rexail,TRUE,0,rexail,rexail,Consolidate Rexail variants
רולדין,TRUE,0,רולדין,Roladin,Consolidate Roladin variants
ורדינון,TRUE,0,ורדינון,Vardinon,Consolidate Vardinon variants
אייקון,TRUE,0,אייקון,Icon,Consolidate Icon variants
באג,TRUE,0,באג ביג,Bug,Consolidate BUG variants (Big)
באג_2,TRUE,0,באג מולטיסיסטם,Bug,Consolidate BUG variants (Multisystem)
פוקס,TRUE,0,פוקס ביג,Fox,Consolidate Fox variants (Big)
פוקס_2,TRUE,0,פוקס הום,Fox,Consolidate Fox Home variants
פוקס_3,TRUE,0,פוקס נמל,Fox,Consolidate Fox variants (Port)
כביש,TRUE,0,כביש 6,כביש,Consolidate Kvish 6 variants to Hebrew form
שייק_בקטר,TRUE,0,שייק בקטר,Shake Bakatar,Consolidate Shake Bakatar variants
שייק_בקטר_2,TRUE,0,שייח בקטר,Shake Bakatar,Consolidate Shake Bakatar variants (typo)
שייק_בקטר_3,TRUE,0,שמואל חגג שייק בקטר,Shake Bakatar,Consolidate Shake Bakatar variants (name prefix)
bit,TRUE,0,bit,bit,Consolidate Bit transfers
decathlon,TRUE,0,decathlon|דקטלון,decathalon,Consolidate Decathlon variants (Hebrew/English)
open_spot,TRUE,0,open spot|אופן ספוט,open spot,Consolidate Open/Offen Spot variants (Hebrew/English)
puzzle_outlet,TRUE,0,puzzle outlet|סופט קוקיז,puzzle outlet,Consolidate Puzzle Outlet / Soft Cookies variants (Hebrew/English)
subject_payment,FALSE,-10,תשלום,subject,Handled in fingerprint_v0: map תשלום only when sole token
מאפית_אורן_משי,TRUE,0,מאפית אורן משי|מאפיתת אורן משי,Oren Meshi,Consolidate Oren Meshi bakery variants
דיל_הר_בוקר,TRUE,0,דיל הר בוקר,Supersol,Consolidate Shufersal Deal (Har Boker) to Shufersal
Adrian,TRUE,0,אדריאן,Adrian Sports Trainer,Consolidate Adrian variants
dmei_kartis,TRUE,10,דמי כרטיס,Bank Leumi,Keep full card-fee fingerprint
iriyat_beer_sheva,TRUE,10,עיריית באר שבע,Beer Sheva Municipality,Keep full Beer Sheva municipality fingerprint
Subject transfer,TRUE,0,experiment,Subject,Bank transfers to subjects
iherb,TRUE,0,iherb,iHerb,Any iherb pruchase
lime,TRUE,0,lime,lime,any lime rental anywhere
mr pretzels,TRUE,0,mr pretzels,mr pretzels,
pilates_leumi_transfer_225237,TRUE,20,225237,transfer pilates leumi,Split Pilates Leumi transfers by account number 225237
manual_20260324_jessica_hebrew,TRUE,20,ג['׳]?סיקה|סיקה,ג'סיקה,manual 2026-03-24: canonicalize Jessica with Hebrew gimel
